"","x"
"1",0
"2",0.0501391565514155
"3",0.0499748955688655
"4",0.0457624754692508
"5",0.0439101786883127
"6",0.041209903702921
"7",0.034061048334996
"8",0.0379436157443085
"9",0.0366075299068864
"10",0.0355342410118148
"11",0.0328734594546644
"12",0.0315623249556936
"13",0.0298489914851937
"14",0.0268252817415064
"15",0.0262185827577211
"16",0.026856229182535
"17",0.0261071045612217
"18",0.0264669325476461
"19",0.0278417663345406
"20",0.0264578663703451
"21",0.0246336261594268
"22",0.0256900136632438
"23",0.0252137464895938
"24",0.026054698932481
"25",0.0242291354591002
"26",0.0228246592166456
"27",0.0233748704563583
"28",0.0236931300225198
"29",0.0232441875891729
"30",0.0224285133048867
"31",0.0224856976985046
"32",0.0254372154560267
"33",0.0233336105134641
"34",0.0238791598810833
"35",0.0234748929571951
"36",0.0236067637572878
"37",0.0237472691603948
"38",0.0235157591538329
"39",0.0227530824919909
"40",0.0225450287291811
